InputStoryid,Enter sentence 1,Enter sentence 2,Enter sentence 3,Input sentence 4,Random Fifth Sentence Quiz 1,Random Fifth Sentence Quiz 2,Answer the right end
430d9fb6-7fb0-4cde-9ae5-c81ca4347109,Candice loves to bake.,"One day, Candice found her mother sad.",Candice found out that her mother needed money.,She decided to do a charity sale.,Candice gave the money to her mother.,Candice bought a new purse.,1
33675fd9-8bb1-4739-b677-9939a01c3b43,We went hiking a few weeks ago.,"After deciding to leave, we decided to be in the forest not far from us.","Once we got there, the weather was perfect!","After setting off along the trail, we saw a snake!",We were pleasantly surprised!,We're scared!,2
313197bd-b309-4eef-9f8c-b0ee6e14fce8,The votes for the class president election are in.,Cara was nervous because she wanted to win.,"When the winner was drawn, Carla was beaten.",She lost to her opponent.,Cara threw a party to celebrate.,Carla sat there alone and cried.,2
8d81ed6f-9c29-468f-85f9-3ffe7a4d58b3,Ellie wants a fish tank.,She went and bought a large aquarium.,"Then she filled it with fresh, clean water and gravel.","Finally, she added the fish.",Ellie ate the fish.,Ellie thought it looked great.,2
d6638b4d-72ff-4d36-b37a-065aaf871591,Juan wanted a new guitar more than anything else.,He decided to save up to buy one.,All summer he worked and saved every penny.,"Finally, he was able to buy the guitar.",Juan is always impatient.,Juan is very diligent and patient.,2
e32919fb-7b84-424c-8825-a9a5ca420958,Today was Jim's first day as a police officer.,He is excited to meet his partner Tim.,They were on patrol when a traffic stop was made for failure to yield.,The two men gave the driver proper road safety instructions.,Jim and Tim have become good friends.,Then Jim shot Tim.,1
254a99c8-5a3c-4cf7-8bf9-e99f8b613cc9,I would like to learn about the process of making chocolate chips.,I went to the internet and searched for this issue.,I scanned through all the results and finally found what I was looking for.,I read the whole article.,I made the biscuits.,I made braised pork.,1
25561b53-b8fc-44ef-9d22-384325cdcf66,Sal bought a lottery ticket.,The winning amount is up to $1 million.,He has all the numbers except 1.,Sal won 5k,Sal was thrilled to be a millionaire all of a sudden.,Sal decided to continue buying lottery tickets every week.,2
823343e6-6721-4692-ab53-1f2e28cf9d4c,Harry was doing his homework when he ran into a maths problem.,He decided to look for help on Youtube.,"After doing a few sessions, he came across an interesting video.","The video was exciting, so he decided to watch another one.",Harry decided that maths would be a good subject for a video game.,Harry finally overcame the distraction and returned to his maths class.,2
0f1277f9-f7eb-4133-a067-8012ec4ce4c4,John bellowed and swallowed a chunk of ice.,John panicked when the ice cube got stuck in his throat.,He heated up some water to melt the ice.,He took a quick sip and the ice melted.,John breathed a sigh of relief.,John was very upset about the ice melting.,1
3dcdf416-5329-4190-b492-4b83c3c17d5b,Sean and Sarah were there to see the concert.,They had to take the train to Portland.,"When they got there, they checked into a hotel.",They walked to the concert venue.,"Unfortunately, the concert was cancelled due to illness.",They had a great time at the museum.,1
ff6a9be8-35fd-4371-9337-0a487aa6bcbd,Rex misses being a gymnast in high school.,Now he fears he has lost his sense of movement forever.,"However, a friend encouraged him to try to flip the car on the beach.",Rex does a great cartwheel on his first attempt!,He breathed a sigh of relief.,Rex did his first ever cartwheel that day.,1
93b3adbb-d8fd-4fec-90a1-2f4818cf878c,Hal and Judy are moving into their new home with their son.,It took them a whole day to pack everything up.,"When they were ready, Judy and her son headed to their new home.",Hal followed them with a moving van.,Judy and her son arrived shortly before Hal.,Hal turned around and went back to live alone in the old house.,1
4b8f1d1f-9b00-4af4-bd25-ed71e9536b55,Joe and Tim are good friends.,They always play together at recess.,"One day, Joe said he was moving away.",Tim was devastated.,Joe and Tim have always been friends online.,Joe then punched Tim.,1
39ec0a97-fd2f-46cf-95e3-a2c6db74f022,Jenny decided she needed a day off.,She called in sick and went to the beach instead.,She spent the day at the beach and got sunburned.,"The next day, the owner found her sunburnt.",Jenny's boss has given her a pay rise.,Jenny is worried that her boss will fire her.,2
35dd81de-9d73-431c-96a1-fb19b59eca7f,John and Ed bet on who can get the most candy for Halloween.,They left John's house at the same time and went in different directions.,They have two hours to collect as much as they can.,"When they got home, they weighed their bags.",John ended up having the most.,John then went off to play golf.,1
1b06e78a-3f2e-4445-a72f-780b27f3f40d,Brendan woke up this morning with his teeth missing.,In his excitement he ran into his parents' room.,Brendan was jumping up and down on their bed.,He ran back to his room and put his teeth under his pillow.,Brandon checked the next day and found 50 cents under his pillow.,Brendan bought a chocolate bar.,1
0da38645-9c97-407e-9ef3-5a2058ebcd9e,Kelsi has always wanted a new swimming pool,She begged her parents for years in order to get one.,Eventually they gave in and allowed her to have one.,Kelsey was ecstatic and couldn't believe it.,Kelsey has no interest in the pool her parents bought.,Kelsi is loving her new pool!,2
669aa4cd-bc3e-4c4e-acf7-f406844d697c,Rick likes chocolate oatmeal.,"However, his friends advised him to use a better quality cocoa powder.",Rick is nervous about money.,But he decided to buy the more expensive cocoa powder only once.,The taste is worth it.,Rick still has plenty of money.,1
74c29734-503c-4412-8716-bdeac83ee64a,Ann and Tori have been friends for over 20 years.,They often shopped together.,Tori received a call from her bank saying that her ATM card had been charged.,She called Annie and told her that someone was using her card.,Ann and Tori continued shopping.,Ann and Tori decided to stop shopping and solve the problem.,2
7c079852-8137-49e1-96f7-ff6ae8c1b904,Amy was nervous about attending her first violin recital.,"She knew her work, but she was afraid her mind would go blank.","As she stands on the stage, she closes her eyes and takes a deep breath.",Her bow dances on the strings.,Amy threw the instrument on the floor.,Amy put on a great show.,2
f9b8a4d5-c5bb-44e6-95be-1bcc52af40db,We used to live on the edge of an icy pond.,It freezes in the winter time.,One day my friend Joe came to the pond with his 3 year old child.,Joe slides along the ice like a jug of ice for his son.,Joe left his son behind and moved to Florida.,Joe's son didn't stop laughing for hours.,2
0a7b177b-7671-40ba-9a36-72ef45b651a6,Gina's dad came up from the basement in a huff.,He found the drugs in her teenage brother's bed.,If a small child finds out about these drugs.,"For her father, it was the last straw.",Gina's father grounded everyone for a month.,Gina's father is very proud.,1
13fb2312-d2ad-4561-8a05-7513e63442bc,Carry has had a short life.,She could never reach the top shelf in the shop.,Greg saw her struggling to reach.,He went over to help her.,She refused his help and walked away.,They ended up going on a date that night.,2
f6830a2a-5ab0-47fa-812d-703362717fb5,Samuel likes to read old science fiction stories.,He collected books by HG Wells and Jules Verne.,His favourite is HG Wells.,His father gave him a copy of The Island of Dr. Moreau.,Samuel could not read or write.,He loved it!,2
928d6e7d-0b05-4027-aadd-49f08b02ea60,David was an all-round great footballer.,He's nervous about the next game.,A scout will be there.,This game will decide his future.,David will hopefully play very well.,David really didn't care about that game.,1
16c3e3c9-c7fb-4c0a-9a22-65e9209fc338,Last Friday was Ted Duncan's first race in NASCAR.,He had been waiting for this moment all his life.,"For a first-timer, he did surprisingly well.",Then he lost control and crashed into the wall.,Ted was seriously wounded.,Ted's car is in great shape.,1
8290bb38-7526-410d-b63b-84b2019d4657,Danny likes to go on picnics.,Paisley is Danny's girlfriend,One day Danny took Paisley on a picnic.,She is very fond of herself.,Paisley decides to break up with Danny after the picnic.,Danny was happy to share a picnic date with her.,2
32075b85-b08a-4503-ac1a-f8d92d2fa29f,My chest hair is getting out of control.,I decided I would use the trimmer to trim it.,I went into the bathroom and started shaving it off.,Hair started to clog the drain because there was too much of it.,I decided to glue my hair back on.,I decided to wax it.,2
03ba1bda-c31e-4201-92bc-b5b35b3f0aad,I had a stroke in 2011.,I spent 8 weeks in hospital and rehabilitation.,The staff feed me oatmeal every morning.,I've been eating oatmeal since I got out of prison.,Oatmeal has become my favourite food.,I hate oatmeal and don't eat it anymore.,1
6b9941a8-213c-4e54-98f5-81e437bd2926,Charles has a large white dog.,He didn't like the look of the dog.,Charles thought about what he could do to change it.,He painted the dog pink.,He is very full.,Charles' mother was very angry.,2
aaa5c492-d3b2-40a7-bbd5-6b8e21e1003c,"One day, Kelly bought a book to read on the plane.",She had two long flights with nothing to do.,She was immersed in the book as she flew.,"But when she changed planes, she realised she had forgotten!",Kylie was upset.,Kelly doesn't know how to read it.,1
c73cbbee-b51a-42f0-a3d8-22b8fc732b4e,Ava was angry because she had to wear a tank top in the pool.,She wanted to swim without a vest like her brother.,She asked her mother if she could take swimming lessons.,Ava took 6 weeks of lessons and learned to swim.,She was glad she didn't have to wear a waistcoat anymore.,She was upset that she didn't have to wear a waistcoat anymore.,1
8a3f1af2-3913-4a4a-a234-136733984d4a,Tom is wrapping Christmas presents.,But he had no idea who they were for.,So he put the wrong name tag on the gift.,"At Christmas time, Tom hands his son a present.",His son got exactly what he wanted and was quite happy.,"When my son unwrapped a dollhouse, he looked bewildered.",2
1642a31d-5568-4ec6-9004-7470b35360f7,Connie's doctor said she was overweight.,She recommends a better diet and exercise.,"One day, Connie joined a gym.","The next day, Connie was disappointed to see no change.",She is proud of her body.,She has hired a personal trainer to help her achieve her goals.,2
4ca3ce4c-637e-45e8-9d94-d0da28effc6a,Kurtis decided to go camping.,He drove up the mountain and found a camping site.,He began to set up his tent.,"Suddenly, a grizzly came along and started to approach Kurtis.",Kurtis was trembling with fear.,Kurtis laughed and danced around the campfire.,1
237a2426-779d-4d2f-8878-cc1d9895ed5d,Neil has been travelling in Asia.,Now he has headed south into Australia.,Neil was very excited to see the Australian culture.,He is excited by the prospect of exotic animals and people!,He has always wanted to go surfing in the California sunshine.,His favourite moment is when he feeds the baby koalas.,2
4014fd4e-036c-4e93-973f-3eb49ce21fda,Joe needs money,He asked Jeb for $50.,Jeb refused.,He told Joe to get a job.,Joe was glad that Jeb had lent him the money.,Joe got a job so he wouldn't have to borrow money.,2
7acc2db4-2324-4bf5-ba56-194007e0bb65,Gina got in trouble for something her sister did.,Her parents have been responsible for her since she was old enough.,Gina thinks this is very unfair.,"She went back to her room and sat alone, waiting for an apology.",Her sister came to apologise.,Gina thought it was really interesting.,1
b753ce86-ad90-4ca9-8816-215f0f968a30,Ann loves cake.,Every Saturday she would pass by the bakery.,Ann loves looking at beautiful cakes.,One day a lady invited her into the house.,Ann felt insulted by the lady's offer.,Ann came inside and watched the cake being made.,2
001df42a-7c6c-4bee-bbb8-21950fe87d2c,Kylie and her friends went to a new ice cream shop.,They are excited to try new flavours.,One of the flavours is wasabi.,"It looks disgusting, but it tastes great.",Kylie is glad she tried a new flavour.,She threw up.,1
2e80030a-9ade-4fdb-b693-444100733c1b,Rory is allergic to gluten and strawberries.,One day she was sitting at school eating lunch.,She opened her lunchbox and stared at a sandwich with strawberries.,Her new stepmother had packed her lunch for the first time.,Rory had to buy school lunches that day.,Rory on a sandwich.,1
c57088f8-7a4e-4826-9d91-2065f345a4ee,A boy needs to learn to drive.,He asked his father and he said yes.,They started looking for the first car.,"In a newspaper advertisement, they found a good-looking car.",The boy bought a bicycle.,They bought the car.,2
fa89b431-41a6-4ab5-a1bf-f244f1c0ad85,Lynn told her friends that they were going to sneak out.,But sneaking back in would be a problem.,Her dad is in the kitchen.,The girls climbed into the basement through the open window.,Her father caught them and scolded them for sneaking out.,Her father greeted them warmly from their trip.,1
2b38b3ba-ce90-414e-8114-88f601631444,Tory was tired of the heat.,And he doesn't have air conditioning in his house.,He scraped together what he could and set out to buy one.,"But as he walked outside, he spotted raindrops.",The weather became too hot and dry for Tori to go out.,"It takes a while to get air conditioning in Torrey, but it's cooler.",2
2ab4f4dc-7b16-45f5-8b72-99d8d10be148,I bought a new lamp today.,I still need to set it up.,I didn't know where to put it.,My mum thinks it should be in the corner.,"I put it in the middle of the room, as my mother suggested.",I put it on the bedside table in the corner.,2
187b118c-c70b-4afb-9b41-5c1e09887858,"Many years ago, the United States was not a country.","On the contrary, the people who live there are part of Britain.",They decided they wanted to be their own country.,"There was a long war, but in the end they were victorious.","A few years later, the United States decided to return to Britain.",The war became known as the American Revolution.,2
765b576d-0989-450d-93df-1b2d6c329a0c,Cole has a garden with lots of vegetables.,He had so many that he was going to get rid of them.,He started taking his extra vegetables to the local church.,The church is grateful to Cole for his kindness.,Cole was upset that all his vegetables were going to waste.,All members signed a thank you card for Cole.,2
9923091f-49f3-4ce5-bd9c-fd01f284bfde,I was totally exhausted from the day at school.,I was falling asleep while the Spanish teacher was teaching the accent.,At lunchtime I decided to take a break in the stands of the football stadium.,"Besides, I fell asleep on the bus ride home.",I decided to watch the movie all night.,I go to bed very early at night.,2
6b666c82-cfcd-4447-ba48-f91fcb27c170,Bob daydreamed as he drove.,A deer jumped onto the road right in front of him.,Bob's car hit the deer!,The deer and Bob's front bumper were pulverized!,Bob was dizzy and had a cut on his forehead!,"Afterwards, Bob was nervous about going for a ride.",1
11abdce5-a150-4ea4-b76b-4ff36b7b0f6c,I went to Las Vegas,I learnt that I really like slot machines.,I spend a lot of time on them.,I spent a lot of money.,I lost all my money and I was so sad.,I'm glad I didn't spend too much money on the slots.,1
b29a15ca-1fdf-42a3-b443-50c33f297318,Chelsea is getting married next week.,She needs someone to send her away.,Her father was impossible because he was an abusive man.,She really didn't know what to do.,"She asked her father, because he had always been good to her.","She decided to ask her brother, who was honoured to do so.",2
5ae5571c-31f7-4d79-86f2-3c7fa9ffb6c7,Austin needs artwork made for his flat.,He went to a number of art galleries in the city centre for inspiration.,"At one point, he had an idea.",He went online and bought some materials.,Austin went to the park to play with his dog.,Austen painted several paintings similar to what he saw.,2
1734a9b5-938b-414f-8718-450d13658cb2,"In 2005, I went to play chess at St Anselm's College.",My friend is a professor there.,His colleague - who is also a chess player - also plays chess with us.,I'm on a great winning streak and haven't lost any games!,"I will continue to play chess, hopefully with qualified opponents.",I think I'm going to start playing football.,1
264662c6-4f40-4f03-93d1-335a268e52c5,Izzy is a doctor.,She is too close to her patients.,"One day, she falls in love with her patient Denny.",Denny died of an aneurysm.,Izzy was heartbroken.,Izzy was delighted.,1
609a7d44-9a1c-4585-b0f4-5ac7d9fc1f8f,Larry has always wanted to feel stronger.,He noticed that there were several students lifting weights in the school.,Larry decided to lift weights as well.,He started with lighter weights but gradually tried heavier ones.,"Ultimately, Larry became stronger.",Larry was ashamed of what he had done.,1
e242bc6e-470b-4ed9-ac96-48a4d38b11ef,My roommate interviewed for a new job.,He practiced every night the week before to make sure he was ready.,"When the day came, he was dressed in his finest clothes.",We waited with great anticipation to hear what would happen.,"A few days later, he received a phone call saying he had been offered the job.",My roommate then got a call saying he had been fired.,1
5d10d46d-83a9-4468-9b05-8bdabdc5ea92,Gertrude is notoriously clumsy and awkward.,Her friends thought that taking up a sport might help her.,She decided to try out for the school's football team.,She ran onto the field and unexpectedly tripped over the ball.,The football team congratulated her and gave her a place.,"Naturally, she was not accepted to the football team.",2
b083a25d-a3c3-47be-8879-949b475d13f6,Liza walks alone near the woods.,She suddenly fell down and was unable to walk.,"She cried out for help, but to no avail.",She climbed out into the street to flag people down.,Liza was in pain.,Liza is very happy.,1
847fb1fc-aa6c-443c-98aa-fd4af3847c73,Noah bought an old book at the thrift shop.,He took it home and started reading it.,"As he did so, something fell out of the pages.","Curious, Noah bent down and picked it up, his eyes widening.",He's off to read his book again.,Pressed between the pages is a four-leaf clover!,2
49500220-b926-41dd-9347-0edb6829edeb,Gina was unable to turn on the hose.,The pegs are without handles.,She couldn't find a handle in the house.,Finally she went into the garage to have a look.,Gina ordered some lunch for herself.,Gina found the handle of the washing machine.,2
dea3f3e4-98c4-4614-ab9f-e370785fc7fc,I found an envelope for $600 in the mail today.,"However, it is my neighbour's.",I decided to give them the email instead of keeping it.,They thanked me for my selflessness.,I am dishonest.,I am honest.,2
f560dccd-209b-43fd-8bb7-6629e8a30823,"Before she left, she promised him that one day she would return.",She has important things to deal with far away.,"He missed her, and she really missed him.","One day she would come back, he told himself.",He hoped she would never return.,"A year later, she returned.",2
0d1aec48-f891-4611-80b2-b10476ea4776,Oliver needs a new radio,"However, he knew nothing about them.",He asked a friend to pick one out for him.,A friend was a relative and got him a good price.,Oliver was tired of his friend's unwelcome advice.,Oliver was grateful for his friend.,2
dbd1c07c-3bbd-4753-bd93-6b7400eb2c64,Tommy called out to the girl sitting next to him in class.,He asked her if she thought the course was good.,"She frowned at him, sad that she was in a relationship.",Tommy immediately turned around.,Tommy decided to ask the girl out.,Tommy was really embarrassed.,2
ce784ff4-4411-43ae-8789-7dcd07692029,The town held a dog jumping competition.,They have set up a large outdoor swimming pool with steps.,Many people came to watch and take photos.,Each dog took turns running and jumping into the water.,Dogs attacking people.,"Everyone had a great time, even the dogs.",2
d35e7dfc-d3cf-40b2-8b67-b92572b74222,"We went on safari in the hope of seeing the Big Five, everyone's goal.",Ten days later we had seen all but one of the leopards.,We heard someone say they had seen baby leopards while driving today.,We were disappointed and asked them later.,We wanted to miss the leopard.,We wanted to see the leopard.,2
84c97f08-5998-4059-b2e6-26307c70a656,Albert is a young man who has just been certified in CPR.,He decided to go out to dinner to celebrate.,"While in the restaurant, another customer began to choke on his food.",Albert rushed to her side and quickly did the Heimlich manoeuvre.,Albert saved my life.,Everyone is mad at Albert.,1
e948a9b0-1f8a-4166-b43a-757387ea6ca0,One day Sam and John went out to play Ultimate Frisbee.,"On arrival at the pitch, a selection match for football was taking place.",Sam approached them and asked them to let him play with John too.,"After talking for a few minutes, they agreed and everyone played for a while.",Then they all went home.,Sam and John ran away from the group of boys.,1
5a797fa1-07d2-47f6-b160-36e10ae5e63e,Tina is tired every morning.,She is sleep deprived because she has two jobs.,Tina decided to quit one of her jobs.,She now gets enough sleep every day to be able to work properly.,Tina is well rested.,Tina is more tired than ever.,1
c9ed6b56-0a08-4b0b-bb46-4a05856c6b3f,Jaris wanted to pick some wild flowers to put in a vase.,He went to the state park.,He picked many kinds of flowers.,Little did I know that Jaris would find out that it was a national park.,Jerris picked flowers in the state park.,Jaris got into trouble and apologised profusely.,2
b4e4e9db-8cc5-4b39-a4c7-894ed6af9c79,My daughter had a list of things she wanted to do before she turned 40.,She is only 30 years old.,One thing is to read the Bible from cover to cover.,I decided to read the Bible again and support my daughter.,I wish my daughter would stop being a Christian.,I want my daughter to have a spiritual life.,2
d59da61f-1141-4c74-8e7c-1e11ff2d21c8,Mickey has always wanted to be thin.,He tried fad diets but to no avail.,He started to cut back on calories and do more exercise.,"After 2 months, Mickey started to see results.",He takes great pride in his hard work.,Mickey was very disappointed.,1
7d177568-fd50-4c13-a5a5-929a12e765c5,Amy called Kim.,She wanted to find out why Kim had been rude to her.,Little Kim is jealous of Amy's boyfriend.,Amy accepted her apology.,Amy told Kim that she was a big loser.,They decided never to let a man come between them.,2
ed31c050-341d-4ae2-9ec5-55da770d5e5b,Lauren was feeling tired after her late shift at the bar.,She usually likes to take the bus home from work.,"Tonight, however, she noticed that the moon looked beautiful.",She strolled home happily under the bright moon.,Lauren's husband was happy to see her feeling refreshed.,Lauren wished she could have taken the bus home.,1
c6637931-907e-452e-aa57-299e8801d648,Noah is playing in his tree house.,He decided to come down today.,But then he saw his ladder fall off and lie on the ground!,There was no way for Noah to get down from the tree house!,He was delighted.,He shouted for his dad.,2
05fa2554-9bb2-4abc-954f-6e21b2e52a5b,There was a boy with a paintball gun.,He wasted all his ammunition.,He struggled to remain undetected in the trenches.,"Finally, he rushed to the flag.",The boy decided to go swimming.,He was shot dead by a member of another group.,2
8d833f98-114a-420f-adb2- 53884b813034,Celina is very old.,Her hips were always sore.,She has difficulty walking.,"One day, she was given a walking aid.",This has helped her a lot.,Celina has no feet.,1
048f5a77-7c17-4071-8b0b-b8e43087132d,"Neil's visit in Limerick, Ireland.","There, he saw a beautiful sight.","He saw the big, lovely Shannon River!","After a few minutes, he agreed with the locals.",The Shannon River is beautiful.,That Neil was very stupid.,1
57046c72-5c39-47b4-88a1-6984ad1ac6b8,Jay's team has been practising for a week for this competition.,None of the players looked like they knew what they were doing.,Jay's team lost the game handily.,Jay treated the team to pizza because he works hard.,The team asked Jay if he could have a burger instead.,The team wolfed down their pizzas and thanked Jay.,2
dac71653-f4b0-4445-806c-ae724a693373,Rachel really wants some new make-up.,"However, she lacked the money to buy some.",She went to the shop and stuffed some eyeliner into her bag.,She walked out of the shop and no one noticed her.,Rachel went home and put on her eyeliner.,Rachel threw the eyeliner in the trash.,1
5508c74e-4105-4b4b-805f-372aa58429ea,Maxine was tired of always being wet when it rained outside.,"She considered moving to a place where it wasn't raining, but decided against it.",In the end Maxine bought a great new red umbrella.,She loves her new umbrella and she takes it with her everywhere.,She moved to the desert.,"Now when it rains, she is happy.",2
c9c7f614-e8c1-4b07-890d-2b0ffc19cd47,Derek was tired of living at home with his parents.,"One day, his friend suggested they move in together.",He told his parents.,"That night, they packed up his things.",Derek was happy to finally get out.,Derek doesn't want to leave.,1
6126881f-3a6f-421a-b2ae-b74b7a52dd96,We spent our 30th anniversary on the California coast.,"It was cold, foggy and drizzling.",I had planned to spend time on the beach with my watercolours.,"On the third day, we spotted a family of whales near the pier.",I painted a picture of a whale.,That evening I drove to New York.,1
98bdd522-48f8-49ed-bcda-fde95a663ee2,Jenny always likes to go to Starbucks.,"One day, she was ordering coffee.","When she went to the window to pay the fee, she was told that it had already been paid.",The person in front of her had paid.,Jenny paid for her coffee in cash.,Jenny paid for the order for the person behind her.,2
35146100-1a33-4b70-ab26-4469198f909a,Everyone loved Bob for his popular role in the film.,Bob hated it because he didn't look anything like that character.,Jim asks Bob to say his character's catchphrase.,This was too much for Bob and he exploded in anger.,Bob told the man to leave him alone.,Bob asked the man for tea.,1
96e98dae-7c2e-4130-b6c2-4912c0e58938,Rita wants to watch her favourite TV show.,Her children insisted that she sit down and watch it with them.,Rita told them that she had chores to do.,Her children dragged her laundry basket into the living room.,Rita ordered a pepperoni pizza for lunch.,Rita folds her clothes while watching TV.,2
39c953ff-bb04-4997-a6be-3f4b07e0db56,Liv was taken aback by a loud bang.,She realised it was a burnt out light bulb in the kitchen.,She took out a footstool and stepped on it.,It wobbled beneath her and she almost fell over.,Liv decided to change a light bulb in the bathroom.,Liv then changed a light bulb.,2
2b7745a1-9e3a-402d-a806-1eebfb18ad5a,The mother told the children that it would be lunchtime in fifteen minutes.,But then she received an important phone call.,"As she spoke, the dog mopped up mud all over the kitchen.","The children started pestering their mum, who was still on the phone.",The mother felt quite frustrated.,The children's behaviour calmed the mother down.,1
56b24969-0004-4731-99d6-ac4931df1b50,Hector always buys coffee at the local shop before going to work.,He realised that his coffee buying habit was very expensive.,"One day, Hector decided to make coffee at home.",He is proud of the fact that his home made coffee is so good.,Hector keeps making his own coffee to save money.,Hector started buying more coffee from Starbucks.,1
eb653573-0e05-403a-b5a4-be7bd6ba3f99,Kylie finds out that there is a new girl at school.,"When she walked into the school, she went to find her.","When she meets her, she invites her to sit with her for a nap.","After lunch, they became friends.",Kelly never spoke to her again.,Kylie is happy to have made a new friend.,2
efb927ed-be0b-41fb-b89d-1fe4f3f96f78,Tommy trained hard to run his first 5km.,It was frustrating for him when so many people passed him during the race.,He was shocked when he heard his name called during the awards.,He didn't know they would be awarding prizes by age group.,He was ashamed that he did not receive any recognition.,He was proud to finish first in age but tenth overall.,2
dac6c4cb-422b-436e-ac83-7853ad91d9c6,Lori is going to her first formal ball tonight.,Her blind date picked her up and gave her a beautiful rose.,"Lori is wearing a long, shiny dress.",They danced and had a great time with all their friends.,Lori went home in tears.,Lori ends the night by kissing her date.,2
9f53d98f-c1d9-4082-a9c7-1a95ed3de223,Neil is exploring the historic railway.,"He rode into Scranton, Pennsylvania.",He realised that it was a beautiful old train depot.,He took a lot of photos while he was there.,Neil deleted all his photos.,Neil saves these photos on his computer.,2
553ec373-0500-4c63-979f-a446a17f550d,Bob dreaded his first day working at the fast-food fish shop.,He intends to wait to put on his gorgeous nautical clothes.,Bob put on his uniform and started making fish burgers.,"He was so busy, he forgot to change back into his street clothes",Bob liked the outfit so much he showed it to his friends.,Bob went out after work in his sailor suit.,2
d84fcc97-0638-4dc8-a881-596c66b75e83,A friend came to visit.,I told her that my dog would bite.,She doesn't listen.,She tried to stroke him and play with him.,My dog bit her.,My dog ran away.,1
6001c530-a64f-4128-82db-deb6bd81e8b8,Lester always wanted to be more artistic.,He decided to try to paint a picture of a flower one day.,He sat in front of a beautiful orchid and began to paint.,Lester's paintings are very well done.,He hung the picture on the wall in the living room.,He decided never to paint anything again.,1
2ff39c6a-6eb8-4890-8e25-6b6af653046d,Pablo likes to eat worms.,He read a book at school on how to do it.,He fried it in olive oil.,He likes to do this at least once a month.,Pablo loves to eat worms and regards them as a delicacy.,Pablo does not like bugs.,1
5bf65083-150d-4e08-a822-fd215ecd23fe,Kira has always loved Japanese culture.,Many of her favourite films are in Japanese.,She decided to travel there.,For years she has been saving for her trip.,She spends all her money on shoes.,It was the best trip of her life.,2
a6e1d6d8-ddbb-4b54-a685-c642f4076e1b,Glenn was in the mood for a walk.,He put on his jacket and went outside.,As he was walking on the pavement he tripped and fell and broke his knee.,Glenn got up and limped back to his house.,Glenn ran his best ever marathon time.,Glenn swore he would never walk again.,2
adaa9d18-572e-40f0-af81-c415abf793a4,"Recently, I was walking to the shops.","As I passed an exit, I felt cold, hard steel on my arm.",I was hit by a car and was shocked!,The driver was very apologetic when he saw that I had been hit.,I told them it was okay and left.,The driver of the car was very angry with me.,1
8cc9a757-075a-4e47-95b7-2fa63dc8870c,Gina's sister was cut on the ankle by broken glass.,Blood ran down her foot and into her shoe.,"When she saw the blood, she ran home.","Gina ran behind her, but couldn't keep up with her.","When they got home, they all had ice cream.",Gina's sister went to see a doctor.,2
8ef45363-9070-477a-8f1f-8d7c947ea6dc,A young boy is in the third grade.,He is very bright but struggles to read.,"Whenever he read aloud, his classmates laughed at him.",He began to practice reading every day.,The young boy accepted the fact that he would never improve.,"At the end of the year, he scored well on his reading tests.",2
a2878606-f05e-492b-a581-8b00346d40ca,Rosie's class is having a little party.,She decided to make a fruit salad for everyone.,She spent a lot of money on the fruit and a lot of time preparing it.,"On the day of the party, she scooped up a large bowl of fruit salad.",Rosie shared the fruit salad.,Rosie keeps the bowl of fruit salad in the fridge at home.,1
7fa2b3d7-8046-403f-9a66-8198715ef31e,"When I was at university, I met an older man.",I was 22 years old and he was 38.,We had a great rapport and had a great time together.,We were together the whole time I was there.,I have fond memories of those times.,I have negative memories of that time.,1
3c516058-0aec-4a0c-906d-4b466715c38b,Jackie has been appointed as the Year 8 Hall Manager.,She is the envy of the class.,Classmates often put her work in jeopardy.,They'll steal Jack's hall pass.,The headmaster suspended the disruptive students.,Her classmates were rewarded for their behaviour.,1
713e6e15-793f-4951-9d47-3d4688d748a3,My dad has just bought a new car.,"To celebrate, we all went for a ride.",Another car ran a red light and hit us.,I punched the window hard enough to break it.,I climbed out and my dad and I were fine.,We were all crushed by vehicles.,1
fcb6c166-4da5-4efb-8779-4ba6bdf1da2f,Eva and Brent are trying to conceive a child.,"They have been trying for six months, but without success.","During the doctor's visit, they expressed discouragement.",But then they saw the doctor smiling brightly.,Brant will cancel his plan to kidnap the child.,The couple will be so happy to know they are having a baby.,2
f3b7819d-89cc-4dcf-a560-18d70f6f2cf9,Catherine has always been interested in the sport of curling.,Catherine loves watching athletes on TV.,"One day, Catherine decided to visit a curling practice session.","While training, one of the athletes invited Catherine to play.",Catherine then began to practice every day and became very proficient.,Catherine thinks curly hair looks boring.,1
041c9cd6-3351-4287-bf7d-56e1b8808341,Francis has been looking forward to learning how to drive.,Finally he was of age to get his driving licence.,Francis studied very hard to obtain his licence.,He passed his driving test easily.,Francis is really proud of what he has achieved.,Francis decided he would rather take public transport.,1
4fd560d4-8d90-40f8-a572-9522f966fd97,I watched The Nutcracker yesterday and had a great time.,I absolutely love it.,It was a beautiful sight to see as the dancers danced across the stage.,I feel privileged to have seen the show.,I vowed never to look at it again.,I'd like to see it again.,2
dc450ec8-ab03-47b8-af48-43623c8a369e,I got up at 8.30am for class.,I got out of bed in a daze and took a shower.,I had a quick breakfast and started walking to class.,"After a 50-minute class, I started walking back to my dorm.",I decided to go to class again.,"When I got there, I took a nap.",2
