InputStoryid,Входное сообщение1,Вход2,InputSentence3,InputSentence4,Случайная пятаяПриговорнаяКвизь1,Случайная пятаяПриговор2,AnswerRightEnding
c57088f8-7a4e-4826-9d91-2065f345a4ee,Мальчику нужно было научиться водить.,"Он спросил отца и сказал ""да"".",Они начали искать первую машину.,В газетной рекламе они нашли красивую машину.,Мальчик купил велосипед.,Они купили машину.,2
fa89b431-41a6-4ab5-a1bf-f244f1c0ad85,"Линн сказала своим друзьям, что они собираются улизнуть.",Но прокрасться обратно было проблемой.,Ее отец был на кухне.,Девочки забрались в подвал через открытое окно.,"Ее отец поймал их и отругал за то, что они улизнули.","Ее отец тепло приветствовал их, когда они приехали из поездки.",1
2b38b3ba-ce90-414e-8114-88f601631444,Тори устал от жары.,И у него дома не было кондиционера.,Он собрал все деньги и решил купить одну.,"Но когда он вышел на улицу, он заметил капли дождя.",Стало слишком жарко и сухо для Тори.,"Тори пришлось немного подождать, чтобы купить кондиционер, но он был холоднее.",2
2ab4f4dc-7b16-45f5-8b72-99d8d10be148,Сегодня я купил новую лампу.,Мне все еще нужно его настроить.,"Я не знаю, куда это поставить.","Моя мама думает, что это должно пойти в угол.","Я положила его посередине комнаты, как предложила мама.",Я поставил его на ночной столик в углу.,2
187b118c-c70b-4afb-9b41-5c1e09887858,Много лет назад Соединенные Штаты не были страной.,"Вместо этого люди, которые там жили, были частью Англии.","Они решили, что хотят быть своей собственной страной.","Была длинная война, но в конце концов они одержали победу.",Через несколько лет государства решили вернуться в Англию.,Война называлась Американской революцией.,2
765b576d-0989-450d-93df-1b2d6c329a0c,У Коула был сад с большим количеством овощей.,"У него их было так много, что ему пришлось бы их выбросить.",Он начал отвозить свои излишки овощей в поместную церковь.,Церковь была благодарна Коулу за его доброту.,"Коул был расстроен, что все его овощи пропали впустую.","Все участники подписали открытку ""Спасибо"" для Коула.",2
9923091f-49f3-4ce5-bd9c-fd01f284bfde,В течение всего дня в школе я была совершенно уставшей.,"Пока мой учитель испанского учил акценты, я засыпал.",Во время обеда я решил отдохнуть на трибунах на футбольном поле.,"Кроме того, я заснул, когда ехал домой на автобусе.",Я решил всю ночь смотреть кино.,У меня была ранняя ночь.,2
6b666c82-cfcd-4447-ba48-f91fcb27c170,"Бобу приснился сон, когда он ехал на своей машине.",Олень выпрыгнул прямо перед ним на дорогу.,Машина Боба врезалась в оленя!,Олень и передний бампер Боба были измельчены!,Боб был ошеломлен и порезался на лбу!,"После этого Боб нервничал, катаясь на лошадях.",1
11abdce5-a150-4ea4-b76b-4ff36b7b0f6c,Я ездил в Лас-Вегас.,"Я узнал, что мне очень нравятся игровые автоматы.",Я потратил на них много времени.,Я потратил кучу денег.,"Я был расстроен, когда потерял все свои деньги.","Я был рад, что не потратил много денег на игровые автоматы.",1
b29a15ca-1fdf-42a3-b443-50c33f297318,Челси выходила замуж на следующей неделе.,"Ей нужен был кто-то, чтобы выдать ее.","О ее отце не могло быть и речи, так как он был жестоким придурком.","Она действительно не знала, что делать.","Она спросила отца, потому что он всегда был добр к ней.","Она решила спросить своего брата, для которого это была честь.",2
5ae5571c-31f7-4d79-86f2-3c7fa9ffb6c7,Остину нужны были картины для его квартиры.,Он ходил в художественные галереи в центре города за вдохновением.,Как только у него появилась идея.,Он зашел в интернет и купил несколько материалов.,Остин пошел в парк и поиграл со своей собакой.,"Остин нарисовал несколько картин, похожих на те, что он видел.",2
1734a9b5-938b-414f-8718-450d13658cb2,"В 2005 году я учился в колледже Св. Ансельма, чтобы играть в шахматы.",Мой друг был там профессором.,"Его коллега, также как и шахматист, играл и с нами.",Я был на большой полосе и не проиграл ни одной игры!,Буду продолжать играть в шахматы и надеяться на квалифицированных соперников.,"Думаю, я начну играть в футбол.",1
264662c6-4f40-4f03-93d1-335a268e52c5,Иззи - врач.,Она слишком увлечена своими пациентами.,"Однажды она влюбляется в своего пациента, Денни.",Денни умирает от аневризмы.,Иззи разбито сердце.,Иззи счастлива.,1
609a7d44-9a1c-4585-b0f4-5ac7d9fc1f8f,Ларри всегда хотел чувствовать себя сильнее.,"Он заметил, что несколько учеников в школе поднимали тяжести.",Ларри тоже решил поднять гири.,"Он начал с легких весов, но постепенно попробовал более тяжелые.","В конце концов, Ларри стал сильнее.","Ларри было стыдно за то, что он сделал.",1
e242bc6e-470b-4ed9-ac96-48a4d38b11ef,Мой сосед по комнате проходил собеседование на новую работу.,"Он тренировался каждый вечер за неделю до этого, чтобы быть уверенным, что он готов.","Когда наступил день, он нарядился в свою милую одежду.","Мы ждали в предвкушении того, что случится.","Через несколько дней ему позвонили и сказали, что он получил работу.","Моему соседу позвонили и сказали, что он уволен.",1
5d10d46d-83a9-4468-9b05-8bdabdc5ea92,"Гертруда, как известно, была неуклюжей и неловкой.","Ее друзья думали, что участие в спорте может ей помочь.",Она решила попробовать себя в футбольной команде в школе.,Она выбежала на поле и неожиданно споткнулась о мяч.,Футбольная команда поздравила ее и дала ей место в команде.,"Естественно, она не была принята в футбольную команду.",2
b083a25d-a3c3-47be-8879-949b475d13f6,Лиза гуляла одна возле леса.,Она внезапно упала и не могла ходить.,"Она кричала о помощи, безрезультатно.","Она заползла на улицу, чтобы кого-нибудь пометить.",Лиза страдала.,Лиза веселилась.,1
847fb1fc-aa6c-443c-98aa-fd4af3847c73,Ной купил старую книгу в благотворительном магазине.,Он забрал его домой и начал его читать.,"Как и он, что-то выпало из страниц.","Ной любопытно согнулся и поднял его, глаза расширились.",Он вернулся к чтению своей книги.,"То, что было зажато между страницами, было четырёхлистным клевером!",2
49500220-b926-41dd-9347-0edb6829edeb,Джина не смогла включить водяной шланг.,Патрон был без ручки.,Она не смогла найти ручку в доме.,"Наконец-то она пошла в гараж, чтобы посмотреть.",Джина приготовила себе обед.,Джина нашла ручку на стиральной машине.,2
dea3f3e4-98c4-4614-ab9f-e370785fc7fc,Я нашел сегодня по почте конверт за 600 долларов.,"Однако, он принадлежал моему соседу.","Я решил отдать им почту, вместо того, чтобы хранить ее.",Они поблагодарили меня за самоотверженность.,Я нечестен.,Я честен.,2
f560dccd-209b-43fd-8bb7-6629e8a30823,"Перед тем, как уйти, она пообещала ему, что однажды вернется.","У нее были важные дела, о которых нужно было позаботиться на расстоянии.","Он скучал по ней, а она действительно скучала по нему.","Когда-нибудь она вернется, он сам себе сказал.","Он надеялся, что она никогда не вернется.",Год спустя она вернулась.,2
0d1aec48-f891-4611-80b2-b10476ea4776,Оливеру нужно было новое радио.,Но он ничего о них не знал.,"У него был друг, который помог ему выбрать.",Друг был профессионалом и нашел ему хорошую сделку.,Оливеру надоели нежелательные советы его друга.,Оливер был благодарен своему другу.,2
dbd1c07c-3bbd-4753-bd93-6b7400eb2c64,"Томми позвонил девушке, которая сидела рядом с ним в классе.","Он спросил, считает ли она, что класс хороший.","Она нахмурила его и расстроила, что у нее есть отношения.",Томми немедленно повернулся.,Томми решил пригласить девушку на свидание.,Томми был очень смущен.,2
ce784ff4-4411-43ae-8789-7dcd07692029,В городе прошли соревнования по дайвингу собак.,Они установили большой открытый бассейн со ступенями.,Многие люди пришли посмотреть и сфотографироваться.,Каждая собака бегала по очереди и прыгала в воду.,Собаки напали на людей.,"Хорошо провели время все, даже собаки.",2
d35e7dfc-d3cf-40b2-8b67-b92572b74222,"Мы пошли на сафари и надеялись увидеть ""Большую пятерку"", которая является целью каждого.",Через 10 дней мы видели только леопарда.,"Мы слышали, как кто-то сказал, что видел леопардовых детей на сегодняшней дороге.",Мы были так разочарованы и спросили их об этом позже.,Мы хотели пропустить леопардов.,Мы хотели увидеть леопарда.,2
84c97f08-5998-4059-b2e6-26307c70a656,"Альберт был молодым человеком, только что получившим сертификат по искусственному дыханию.","Он решил отпраздновать, выйдя поесть.","Пока она была в ресторане, другой покровитель начал душить ее еду.",Альберт бросился на ее сторону и быстро сделал маневр Хаймлиха.,Альберт спас день.,Все были злы на Альберта.,1
e948a9b0-1f8a-4166-b43a-757387ea6ca0,Однажды Сэм и Джон вышли поиграть во фрисби.,"По прибытии на поле, началась футбольная игра.",Сэм подошел к ним и попросил их позволить ему и Иоанну играть.,"После нескольких минут разговора они согласились, и все немного поиграли.",Потом они все ушли домой.,Сэм и Джон сбежали из группы мальчиков.,1
5a797fa1-07d2-47f6-b160-36e10ae5e63e,Тина очень устает каждое утро.,Она не высыпается из-за двух своих работ.,Тина решает уволиться с одной из работ.,"Теперь она достаточно спит, чтобы функционировать каждый день.",Тина хорошо отдохнула.,Тина устала как никогда.,1
c9ed6b56-0a08-4b0b-bb46-4a05856c6b3f,Ярис хотел собрать дикие цветы для своей вазы.,Он поехал в государственный парк.,Он собрал много видов цветов.,"Немного Ярис понял, что это национальный парк.",Ярис собирал цветы из государственного парка.,Джарис попал в беду и обильно извинился.,2
b4e4e9db-8cc5-4b39-a4c7-894ed6af9c79,"У моей дочери есть список дел, которые нужно сделать до того, как ей исполнится 40.",Ей всего 30.,Одно дело читать Библию от корки до корки.,"Я решил снова прочитать Библию, чтобы поддержать свою дочь.","Я хочу, чтобы моя дочь перестала быть христианкой.","Я хочу, чтобы у моей дочери была духовная жизнь.",2
d59da61f-1141-4c74-8e7c-1e11ff2d21c8,Микки всегда хотел похудеть.,Он безуспешно пробовал причудливые диеты.,Он начал сокращать свои калории и больше тренироваться.,Через 2 месяца Микки начал видеть результаты.,Он очень гордился своей тяжелой работой.,Микки был очень разочарован.,1
7d177568-fd50-4c13-a5a5-929a12e765c5,Эми позвонила Ким.,"Она хотела узнать, почему Ким была груба с ней.",Ким завидовала парню Эми.,Эми приняла ее извинения.,"Эми сказала Ким, что она большая неудачница.",Они решили никогда не позволять парню вставать между ними.,2
ed31c050-341d-4ae2-9ec5-55da770d5e5b,"Лорен закончила свою ночную смену в баре, чувствуя усталость.",Обычно ей нравилось ездить на автобусе домой с работы.,"Однако сегодня вечером она заметила, что луна выглядит прекрасно.",Она прогуливалась домой счастливо под яркой луной.,"Муж Лорен был рад видеть, что она чувствует себя свежей.","Лорен хочет, чтобы она поехала домой на автобусе.",1
c6637931-907e-452e-aa57-299e8801d648,Ной играл в своем домике на дереве.,Он решил спуститься на день.,"Но потом он увидел, что его лестница упала и легла на землю!",У Ноя не было возможности спуститься из домика на дереве!,Он был так рад.,Он кричал за своего отца.,2
05fa2554-9bb2-4abc-954f-6e21b2e52a5b,Там был мальчик с пейнтбольным пистолетом.,Он потратил все свои боеприпасы впустую.,"Он был в окопах, пытаясь держаться подальше от глаз.","Наконец, он побежал к флагу.",Мальчик решил искупаться.,В него стреляли члены другой команды.,2
8d833f98-114a-420f-adb2-53884b813034,Селина очень старая.,Ее бедра всегда болят.,Ей трудно ходить.,Однажды она получила ходунки.,Это ей очень помогло.,У Селины нет ног.,1
048f5a77-7c17-4071-8b0b-b8e43087132d,Нил посетил Лимерик в Ирландии.,Там он увидел прекрасное зрелище.,Он видел большую и прекрасную реку Шеннон!,Через несколько минут он согласился с местными.,Река Шеннон была прекрасна.,Этот Нил был очень глуп.,1
57046c72-5c39-47b4-88a1-6984ad1ac6b8,Команда Джея всю неделю тренировалась для большой игры.,"Никто из игроков не выглядел так, будто знал, что делает.",Команда Джея умело проиграла большую игру.,"Джей купил команде пиццу за то, что так старался.","Команда спросила Джея, можно ли им вместо этого есть бургеры.",Команда съела пиццу и поблагодарила Джея.,2
dac71653-f4b0-4445-806c-ae724a693373,Рейчел очень хотела новый макияж.,Однако ей не хватало денег на покупку.,Она пошла в магазин и подсунула подводку для глаз в сумочку.,"Она вышла из магазина, и никто ее не поймал.",Рейчел пошла домой и надела подводку для глаз.,Рейчел выбросила подводку для глаз в мусорку.,1
5508c74e-4105-4b4b-805f-372aa58429ea,"Максин устала всегда быть такой мокрой, когда на улице идет дождь.","Она думает переехать куда-нибудь без дождя, но решает против этого.",Наконец-то Максин покупает отличный новый красный зонтик.,Она любит свой новый зонтик и носит его с собой повсюду.,Она переезжает в пустыню.,"Она счастлива, когда идет дождь.",2
c9c7f614-e8c1-4b07-890d-2b0ffc19cd47,Дерек устал жить дома с родителями.,Однажды его друг предложил им съехаться.,Он сказал родителям.,В ту ночь они собрали его вещи.,Дерек был счастлив наконец-то выйти.,Дерек не хотел уходить.,1
6126881f-3a6f-421a-b2ae-b74b7a52dd96,Мы провели нашу тридцатую годовщину на побережье Калифорнии.,"Было прохладно, туманно и морозно.",У меня были планы провести время на пляже с акварелью.,На третий день мы обнаружили у причала семью китов.,Я нарисовал картину китов.,Я поехал в Нью-Йорк той же ночью.,1
98bdd522-48f8-49ed-bcda-fde95a663ee2,Дженни всегда любит ходить в Старбакс.,Однажды она заказывала свой кофе.,"Когда она подошла к окну, чтобы заплатить, ей сказали, что за это уже заплатили.","Человек до того, как она заплатила.",Дженни заплатила за кофе наличными.,"Дженни заплатила за заказ человека, стоящего за ней.",2
35146100-1a33-4b70-ab26-4469198f909a,"Все любили Боба, потому что он играл популярного персонажа в кино.","Боб ненавидел это, потому что он не был похож на этого персонажа.",Джим попросил Боба сказать ключевую фразу его персонажа.,"Это было слишком много для Боба, и он взорвался от ярости.",Боб сказал человеку оставить его в покое.,Боб попросил человека выпить чаю.,1
96e98dae-7c2e-4130-b6c2-4912c0e58938,Лита хотела посмотреть свое любимое шоу по телевизору.,"Ее дети настояли на том, чтобы она села и посмотрела его с ними.","Лита сказала им, что у нее есть дела.",Ее дети притащили корзину с бельем в гостиную.,Лита заказала пиццу с пепперони на обед.,Лита складывала белье во время просмотра телевизора.,2
39c953ff-bb04-4997-a6be-3f4b07e0db56,"Лив прыгнула, когда ее напугал громкий поп-музыкант.","Она поняла, что лампочка на кухне перегорела.",Она вышла из подставки для ног и наступила на нее.,Она дрожала под ней и чуть не упала.,Лив решила поменять лампочку в ванной.,Лив поменяла лампочку.,2
2b7745a1-9e3a-402d-a806-1eebfb18ad5a,"Мама сказала своим детям, что через пятнадцать минут будет обед.",Но потом ей позвонили по важному телефону.,"Пока она говорила, собака таскала грязь по кухне.","Дети начали доставать свою мать, которая все еще разговаривала по телефону.",Мать была очень расстроена.,Поведение детей успокоило мать.,1
56b24969-0004-4731-99d6-ac4931df1b50,Гектор всегда покупал кофе в местном магазине перед работой.,"Он понимает, что его привычка покупать кофе очень дорогая.",Однажды Гектор решает заварить кофе дома.,"Он гордится тем, что кофе, который он приготовил дома, такой вкусный.",Гектор продолжал варить свой собственный кофе и сэкономил деньги.,Гектор начал покупать больше кофе в Старбакс.,1
eb653573-0e05-403a-b5a4-be7bd6ba3f99,"Келли узнала, что в школе появилась новая девочка.","Когда она зашла в школу, она пошла ее искать.","Когда она встретила ее, она пригласила ее посидеть с ней за обедом.","Когда они обедали, девушки подружились.",Келли больше с ней не разговаривала.,"Келли была счастлива, что нашла нового друга.",2
efb927ed-be0b-41fb-b89d-1fe4f3f96f78,"Томми усердно тренировался, чтобы пробежать свои первые 5К.","Во время гонки он чувствовал себя расстроенным, когда мимо него прошло столько людей.","Когда он услышал, как его зовут во время вручения наград, он был в шоке.","Он не знал, что они будут получать награды по возрасту.","Ему было стыдно, что он не получил никакого признания.","Он гордился тем, что финишировал первым по возрасту, но в целом десятым.",2
dac6c4cb-422b-436e-ac83-7853ad91d9c6,Лори идёт на свой первый официальный танец сегодня вечером.,Ее подруга подобрала ее и подарила ей прекрасную розу.,Лори была одета в длинное блестящее платье.,Они танцевали и веселились со всеми своими друзьями.,Лори пошла домой плакать.,"Лори закончила вечер, поцеловав свою подругу.",2
9f53d98f-c1d9-4082-a9c7-1a95ed3de223,Нил исследовал исторические железные дороги.,"Он приехал в Скрэнтон, штат Пенсильвания.","Он понял, что это красивое старое депо.","Он сделал много фотографий, пока был там.",Нил удалил все его фотографии.,Нил сохранил фотографии на своем компьютере.,2
553ec373-0500-4c63-979f-a446a17f550d,Боб боялся своего первого дня работы в рыбном фастфуде.,"Он планировал подождать, пока наденет свою безвкусную морскую форму.","Бобу пришлось работать, делая рыбные бургеры после того, как он одел униформу.","Он был так занят, что забыл переодеться обратно в свою уличную одежду.","Бобу так понравился наряд, что он показал его своим друзьям.",Боб вышел после работы в матросском костюме.,2
d84fcc97-0638-4dc8-a881-596c66b75e83,Пришёл друг.,"Я сказал ей, что моя собака кусается.",Она не слушала.,она пыталась погладить его и поиграть с ним.,Моя собака укусила ее.,Моя собака убежала.,1
6001c530-a64f-4128-82db-deb6bd81e8b8,Лестер всегда хотел быть более артистичным.,Однажды он решает попробовать нарисовать картинку цветка.,Он сидит перед красивой орхидеей и начинает рисовать.,Рисунок Лестера выходит очень хорошо.,Он вешает картину на стену в своей гостиной.,Он решает больше никогда ничего не рисовать.,1
2ff39c6a-6eb8-4890-8e25-6b6af653046d,Пабло любит есть червей.,"Он прочитал в школе книгу о том, как это сделать.",Он жарит их в оливковом масле.,Ему нравится делать это хотя бы раз в месяц.,Пабло любит червей и рассматривает их как деликатес.,Пабло не любит есть червей.,1
5bf65083-150d-4e08-a822-fd215ecd23fe,Кира всегда любила японскую культуру.,Многие из ее любимых фильмов были на японском языке.,Она решила поехать туда.,Годами она откладывала деньги на поездку.,Она потратила все деньги на обувь.,Это было лучшее путешествие в ее жизни.,2
a6e1d6d8-ddbb-4b54-a685-c642f4076e1b,Глен был в настроении прогуляться.,Он надел пиджак и вышел на улицу.,"Во время прогулки по тротуару, он споткнулся и сломал колено.",Глен встал и прихрамывал к своему дому.,Глен пробежал свой лучший марафон.,"Глен поклялся, что больше никогда не будет ходить.",2
adaa9d18-572e-40f0-af81-c415abf793a4,Я недавно ходил в магазин.,"Когда я проходил мимо выхода, я чувствовал холодную, твердую сталь на руке.","Я был шокирован тем, что меня сбила машина!","Водитель очень извинился после того, как увидел, что меня сбили.","Я сказала им, что все в порядке, а потом ушла.",Водитель машины очень разозлился на меня.,1
8cc9a757-075a-4e47-95b7-2fa63dc8870c,Сестра Джины порезала лодыжку на разбитом стекле.,Кровь стекала по ее ноге и попадала в ботинок.,"Когда она увидела кровь, она побежала домой.","Джина побежала за ней, но не смогла за ней угнаться.","Когда они вернулись домой, они все ели мороженое.",Сестра Джины пошла к врачу.,2
8ef45363-9070-477a-8f1f-8d7c947ea6dc,Маленький мальчик был в третьем классе.,"Он был очень умен, но боролся с чтением.","Всякий раз, когда он читал вслух, его одноклассники смеялись над ним.",Он начал практиковаться в чтении каждый день.,"Маленький мальчик смирился с тем, что никогда не поправится.",В конце года он хорошо справился со своим тестом по чтению.,2
a2878606-f05e-492b-a581-8b00346d40ca,В классе Рози была небольшая вечеринка.,Она решила сделать фруктовый салат для всех.,Она потратила много денег на фрукты и много времени на их подготовку.,В день вечеринки она зачерпнула огромную миску фруктового салата.,Класс Рози разделил фруктовый салат.,Рози хранила миску фруктового салата в холодильнике дома.,1
7fa2b3d7-8046-403f-9a66-8198715ef31e,"Пока я учился в колледже, я встретил мужчину постарше.","Мне было 22, а ему 38.",Мы хорошо понимали друг друга и хорошо проводили время вместе.,"Мы оставались вместе все время, пока я был там.",У меня есть приятные воспоминания о том времени.,У меня негативные воспоминания о том времени.,1
3c516058-0aec-4a0c-906d-4b466715c38b,Джеки была назначена наблюдателем за залом восьмого класса.,Ей завидуют во всем классе.,Одноклассники часто ставят под угрозу ее работу.,Они бы украли пропуска Джеки.,Директор отстранила своих шумных одноклассников.,Ее одноклассники получили награды за свое поведение.,1
713e6e15-793f-4951-9d47-3d4688d748a3,Мой отец только что получил новую машину.,"Чтобы отпраздновать, мы все поехали кататься.",Другая машина наехала на знак остановки и врезалась в нас.,"Я разбил окно достаточно сильно, чтобы разбить его.","Я вылезла, и мы с отцом были в порядке.",Мы оба были раздавлены машиной.,1
fcb6c166-4da5-4efb-8779-4ba6bdf1da2f,Ива и Брант пытались зачать ребенка.,Они полгода безуспешно пытались.,На приеме у врача они выразили разочарование.,"Но потом они увидели, что доктор широко улыбается.",Брант отменит свои планы по похищению ребенка.,"Пара будет рада узнать, что у них по дороге будет ребенок.",2
f3b7819d-89cc-4dcf-a560-18d70f6f2cf9,Кэтрин всегда была заинтригована спортом керлинга.,"Екатерина любит смотреть по телевизору, как спортсмены играют в этот вид спорта.",Однажды Кэтрин решила посетить тренировку по керлингу.,На тренировке один из спортсменов пригласил Кэтрин играть.,Затем Кэтрин начала практиковаться каждый день и хорошо справилась с этим.,"Кэтрин думала, что кёрлинг выглядит скучно.",1
041c9cd6-3351-4287-bf7d-56e1b8808341,"Фрэнсис всегда с нетерпением ждал, когда научится водить машину.",Наконец-то он достаточно взрослый для водительских прав.,"Фрэнсис очень тяжело учится, чтобы получить лицензию.",Он легко проходит водительский тест.,Фрэнсис очень гордится своим достижением.,"Фрэнсис решил, что предпочел бы пользоваться общественным транспортом.",1
4fd560d4-8d90-40f8-a572-9522f966fd97,"Вчера я отлично провел время, смотря ""Щелкунчик"".",Мне очень понравилось.,"Когда танцоры украшали сцену, она была прекрасна.",Для меня было честью увидеть это шоу.,Я поклялся больше никогда его не видеть.,Я хотел увидеть это снова.,2
dc450ec8-ab03-47b8-af48-43623c8a369e,Я проснулась на занятиях в 8:30 утра.,Я сонно встала с постели и приняла душ.,Я быстро позавтракал и начал ходить на занятия.,После 50 минут занятий я начала возвращаться в общежитие.,Я решил вернуться в класс снова.,"Когда я приехал туда, я вздремнул.",2
0f29def9-37c9-4eba-a87b-154ceec40700,Гари хотел привлечь внимание Лизы.,Однажды он решает написать Лизе стихотворение.,На следующий день в школе Гари видит Лизу в коридоре.,Гари улыбнулся Лизе и вручил ей стихотворение.,Гэри сильно шлёпает Лизу и уходит.,"Лиза признаётся, что тоже влюблена в Гари.",2
a443d57f-b1c1-4d08-abff-3c968b8f9d92,Ларс всегда хотел попробовать фотографировать.,"Его друг был отличным фотографом, но он никогда не пробовал.","Однажды он купил простую, но качественную камеру.",С того дня Ларс каждый день снимал изображения природы.,Ларс влюбился в фотографию.,Ларс ненавидел фотографию.,1
1ad78f7c-f5b0-4f1a-a09c-1223e6ed015e,Я купил телевизор в магазине электроники.,Это большой плоский экран с высоким качеством изображения.,Сотрудник убедил меня купить на него гарантию на всякий случай.,Неделю спустя телевизор упал со стены и сломался.,Я смог починить его по гарантии.,Позже работник был найден мертвым.,1
4a4ba70e-d51c-4574-b3f1-42675bef0059,Райан был в парке.,И он увидел маленькую девочку с шариком.,"Когда он выходил из парка, он увидел такой же воздушный шар, застрявший в дереве.","Он залез на дерево, чтобы забрать шар.",Затем Райан нарочно выстрелил в шарик.,"Затем Райан нашел девушку и дал ей шарик, который она потеряла.",2
23d95ddb-64bd-461e-b5e6-426a8b77c108,Нил гастролировал по городу Фез.,Он попробовал их этническую кухню.,Потом он пошел за сувенирами.,"У Феза тоже были отличные уличные артисты, отметил он.",Нил отлично провел время.,Нил и Фез стали лучшими друзьями.,1
10770264-1216-4bf9-a955-423d82dc6a92,"Это был яркий, теплый день.","Так что Джо подумал, что было бы неплохо прогуляться.",Он решил прогуляться до своей местной кофейни.,Но на полпути он начал уставать.,Так что он побежал в кафе.,"Джо сожалеет, что вышел на улицу.",2
558ffced-fc9e-428c-8b62-4227a8ecf556,Джен весь день ждала посылку.,"В конце концов, она увидела, как мужчина из ИБП подошел к двери.","Он доставил посылку, а она принесла ее внутрь.",Она открыла посылку ножом.,В коробке был новорожденный ребенок.,Джен нашла свое новое пальто внутри упаковки.,2
5f27fb6f-f523-4220-a393-1fee45f744e0,Фрэнк не хотел делать домашнее задание.,Вместо этого он хотел играть в видеоигры.,Родители Фрэнка сказали ему сначала сделать домашнее задание.,Фрэнк бросил истерику и был наказан.,Фрэнк потерял свои видеоигры на неделю.,Фрэнк получил совершенно новую игру.,1
61b5d18b-450c-4fb7-9f50-47d9df3c22eb,Тимми участвовал в 3-очковом соревновании в своей школе.,Победитель получит шанс выиграть стипендию на обучение в колледже в 1000 долларов.,Тимми практиковался в стрельбе из 3-х указателей все выходные.,"Он был готов, когда пришел день соревнований.",Тимми выиграл конкурс.,В день соревнований Тимми отправился на автодром.,1
81959648-7d1f-4f5e-a960-50465d1c6faf,Дрейк посетил вечеринку в пятницу.,"Он обнаружил, что его бумажник был украден из пальто.","Дрейк немедленно позвонил в полицию, но бумажник не был найден.",Дрейк столкнулся с хозяином вечеринки по этому вопросу.,"И хозяин сказал ему, что он тоже не знает.","Дрейк сказал хозяину, что хочет снова присутствовать на его вечеринках.",1
0a87c92f-e24d-48fb-b064-71e8c66d5f4b,"Боб обнаружил, что у его грузовика спустило колесо.",Он никогда раньше не менял шины.,Он вытащил домкрат для шин и утюг.,Он не смог снять болты.,"Боб позвонил кому-то, чтобы починить спущенное колесо.",Боб отвез свой грузовик на рынок.,1
36c75e5c-8b93-4743-8104-122c769d1636,Джек устал писать электронные письма на планшетном компьютере.,"Он решил, что должен инвестировать в ноутбук.","Он исследует разные ноутбуки, пока не найдет идеальный.",Наконец-то он его покупает.,Теперь Джеку нравится отвечать на письма.,Теперь Джек использует почтовый сервис вместо электронной почты.,1
bbc7c651-dd54-46ea-b057-7b001c105912,Волосы Джейка стали слишком длинными.,У него скоро собеседование.,Он попросил мать подстричь его.,Его мать сделала ему красивую стрижку профессионального вида.,Джейк умыл руки.,Джейк получил работу.,2
f884bcde-c243-4cfd-a9ad-3adeba0ef86a,Шон приходил сегодня.,"Сэм, Шон и я играли в игры.","Они начали злиться на меня из-за того, как я плохо себя чувствую.","Они сказали, что я больше не смогу играть, пока не поправлюсь.",Мне было очень больно.,Я был очень доволен.,1
4c58f47d-b444-4a16-a66b-553fc767130e,Чак устал от работы.,Он закрыл свою работу на некоторое время.,Он открыл форум для общения с коллегами.,После этих мерзких ударов Золтара ему нужен был перерыв.,Чак решил бросить работу.,Затем он почувствовал себя вынужденным вернуться к работе.,2
