InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,Satunnainenviides lauseQuiz1,Satunnainenviides lauseQuiz2,AnswerRightEnding
16c3e3c9-c7fb-4c0a-9a22-65e9209fc338,Viime perjantaina oli Tad Dunkinin ensimmäinen kilpailu Nascarissa.,Hän oli odottanut tätä koko elämänsä ajan.,Hän pärjäsi ensikertalaiseksi yllättävän hyvin.,Sitten hän menetti hallinnan ja törmäsi seinään.,Tad loukkaantui vakavasti.,Tadin auto oli hyvässä kunnossa.,1
8290bb38-7526-410d-b63b-84b2019d4657,Danny tykkää käydä piknikillä.,Paisley on Dannyn tyttöystävä.,Eräänä päivänä Danny vei Paisleyn piknikille.,Hän viihtyi hyvin hyvin.,Paisley päätti erota Dannystä piknikin jälkeen.,Danny oli iloinen voidessaan jakaa piknik-tapahtuman hänen kanssaan.,2
32075b85-b08a-4503-ac1a-f8d92d2fa29f,Rintakarvoitukseni oli riistäytymässä käsistä.,"Päätin, että minun oli otettava siihen trimmerit.",Astuin suihkuun ja aloin ajella sitä pois.,"Hiukset alkoivat tukkia viemärin, koska niitä oli niin paljon.",Päätin liimata hiukset takaisin.,Päätin vahata sen.,2
03ba1bda-c31e-4201-92bc-b5b35b3f0aad,Sain aivohalvauksen vuonna 2011.,Vietin 8 viikkoa sairaaloissa ja kuntoutuskeskuksissa.,Henkilökunta antoi minulle joka aamu kaurapuuroa.,Vapautumiseni jälkeen söin edelleen kaurapuuroa.,Kaurapuurosta tuli lempiruokani.,Vihasin kaurapuuroa enkä syönyt sitä enää.,1
6b9941a8-213c-4e54-98f5-81e437bd2926,"Charlesilla oli iso, valkoinen koira.",Hän ei pitänyt koiran ulkonäöstä.,"Charles mietti, mitä hän voisi tehdä asian muuttamiseksi.",Hän maalasi koiran vaaleanpunaiseksi.,Hän oli hyvin täynnä.,Charlesin äiti oli hyvin vihainen.,2
aaa5c492-d3b2-40a7-bbd5-6b8e21e1003c,Kelly osti eräänä päivänä kirjan luettavaksi lentokoneessa.,Hänellä oli kaksi pitkää lentoa eikä mitään muuta tekemistä.,Hän uppoutui kirjaan lentäessään.,"Mutta kun hän vaihtoi konetta, hän tajusi unohtaneensa sen!",Kelly oli tyytymätön.,Kelly ei osannut lukea.,1
c73cbbee-b51a-42f0-a3d8-22b8fc732b4e,"Ava oli vihainen siitä, että hänen piti pitää altaassa liivejä.",Hän halusi uida ilman liivejä kuten veljensä.,"Hän kysyi äidiltään, voisiko hän ottaa uimatunteja.",Ava osallistui oppitunneille 6 viikon ajan ja oppi uimaan.,"Hän oli iloinen siitä, ettei hänen tarvinnut enää käyttää liiviä.","Hän oli järkyttynyt siitä, ettei hänen tarvinnut enää pitää liiviä.",1
8a3f1af2-3913-4a4a-a234-136733984d4a,Tom oli paketoimassa joululahjoja.,"Mutta hän ei enää tiennyt, kenelle ne olivat tarkoitettu.",Niinpä hän laittoi lahjoihin väärät nimilaput.,Jouluna Tom ojensi pojalleen lahjan.,"Hänen poikansa sai juuri sen, mitä halusi, ja oli varsin tyytyväinen.","Hänen poikansa oli hämmentynyt, kun hän purki nukkekodin.",2
1642a31d-5568-4ec6-9004-7470b35360f7,Connie on lääkärin mukaan ylipainoinen.,Hän suositteli parempaa ruokavaliota ja liikuntaa.,Eräänä päivänä Connie liittyi kuntosalille.,"Seuraavana päivänä Connie oli pettynyt, kun hän ei nähnyt muutosta.",Hän oli ylpeä vartalostaan.,Hän palkkasi personal trainerin auttamaan häntä saavuttamaan tavoitteensa.,2
4ca3ce4c-637e-45e8-9d94-d0da28effc6a,Kurtis päätti lähteä telttailemaan.,Hän ajoi vuorille ja löysi leiripaikan.,Hän alkoi pystyttää telttaansa.,Yhtäkkiä harmaakarhu tuli ja alkoi lähestyä Kurtista.,Kurtis vapisi pelosta.,Kurtis nauroi ja tanssi nuotion ympärillä.,1
237a2426-779d-4d2f-8878-cc1d9895ed5d,Neil oli matkustanut Aasian halki.,Nyt hän oli edennyt etelään Australiaan.,Neil oli niin innoissaan nähdessään australialaisen kulttuurin.,Hän oli innoissaan eksoottisista eläimistä ja ihmisistä!,Hän oli aina halunnut surffata Kalifornian auringon alla.,"Hänen suosikkihetkensä oli, kun hän sai ruokkia koalavauvaa.",2
4014fd4e-036c-4e93-973f-3eb49ce21fda,Joe tarvitsi rahaa.,Hän pyysi Jebiltä viisikymmentä dollaria.,Jeb kieltäytyi.,Hän käski Joen hankkia töitä.,"Joe oli iloinen, että Jeb lainasi hänelle rahaa.","Joe hankki työpaikan, jotta hänen ei tarvitsisi lainata rahaa.",2
7acc2db4-2324-4bf5-ba56-194007e0bb65,"Gina oli vaikeuksissa jostain, mitä hänen siskonsa oli tehnyt.","Hänen vanhempansa pitivät häntä vastuullisena siitä lähtien, kun hän oli vanhempi.",Ginan mielestä tämä oli hyvin epäreilua.,Hän meni huoneeseensa ja istui yksin odottamassa anteeksipyyntöä.,Hänen siskonsa tuli pyytämään anteeksi.,Ginan mielestä se oli todella hauskaa.,1
b753ce86-ad90-4ca9-8816-215f0f968a30,Ann rakasti kakkua.,Joka lauantai hän käveli leipomon ohi.,Ann rakasti katsella kauniita kakkuja.,Eräänä päivänä eräs nainen pyysi häntä sisälle.,Ann tunsi itsensä loukatuksi naisen tarjouksesta.,"Ann tuli sisälle ja katseli, kun kakkuja valmistettiin.",2
001df42a-7c6c-4bee-bbb8-21950fe87d2c,Kelly ja hänen ystävänsä menivät uuteen jäätelökauppaan.,He olivat innoissaan kokeillessaan uusia makuja.,Yksi maku oli wasabi.,"Vaikka se näytti ällöttävältä, se maistui hyvältä.",Kelly oli iloinen kokeillessaan uusia makuja.,Hän oksensi.,1
2e80030a-9ade-4fdb-b693-444100733c1b,Rory oli allerginen gluteenille ja mansikoille.,Eräänä päivänä hän istuutui syömään lounasta koulussa.,Hän avasi lounasrasiansa ja tuijotti mansikoilla täytettyä voileipää.,Hänen uusi äitipuolensa oli ensimmäistä kertaa pakannut hänelle lounaan.,Rory joutui ostamaan koululounaan sinä päivänä.,Rory voileivän ääressä.,1
c57088f8-7a4e-4826-9d91-2065f345a4ee,Pojan piti oppia ajamaan.,"Hän kysyi isältään, ja tämä suostui.",He alkoivat etsiä ensimmäistä autoa.,Lehti-ilmoituksista he löysivät mukavan näköisen auton.,Poika osti polkupyörän.,He ostivat auton.,2
fa89b431-41a6-4ab5-a1bf-f244f1c0ad85,"Lynn kertoi ystävilleen, että he aikoivat hiipiä ulos.",Mutta takaisin sisään hiipiminen oli ongelma.,Hänen isänsä oli keittiössä.,Tytöt kiipesivät kellariin avoimesta ikkunasta.,Hänen isänsä sai heidät kiinni ja nuhteli heitä hiipimisestä.,"Hänen isänsä tervehti heitä lämpimästi, kun he saapuivat matkaltaan.",1
2b38b3ba-ce90-414e-8114-88f601631444,Tory oli väsynyt helteiseen säähän.,Eikä hänellä ollut kotona ilmastointilaitetta.,Hän keräsi rahansa ja lähti ostamaan sellaista.,"Mutta kun hän astui ulos, hän huomasi sadepisaroita.",Torylle tuli liian kuuma ja kuiva mennä ulos.,"Tory joutui odottamaan jonkin aikaa ilmastointilaitteen ostamista, mutta se oli viileämpi.",2
2ab4f4dc-7b16-45f5-8b72-99d8d10be148,Ostin tänään uuden lampun.,Minun on vielä asetettava se.,"En ole varma, minne sen laittaisin.",Äitini mielestä sen pitäisi mennä nurkkaan.,"Laitoin sen keskelle huonetta, kuten äitini ehdotti.",Laitoin sen yöpöydälle nurkkaan.,2
187b118c-c70b-4afb-9b41-5c1e09887858,Monta vuotta sitten Yhdysvallat ei ollut maa.,Sen sijaan siellä asuneet ihmiset olivat osa Englantia.,"He päättivät, että he halusivat olla oma maansa.","Sota oli pitkä, mutta lopulta he voittivat.",Muutaman vuoden kuluttua Yhdysvallat päätti palata Englantiin.,Sodan nimi oli Amerikan vallankumous.,2
765b576d-0989-450d-93df-1b2d6c329a0c,"Colella oli puutarha, jossa oli paljon vihanneksia.","Hänellä oli niitä niin paljon, että hän joutui heittämään ne pois.",Hän alkoi viedä ylimääräisiä vihanneksiaan paikalliselle kirkolle.,Seurakunta oli kiitollinen Colelle hänen ystävällisyydestään.,"Cole oli järkyttynyt siitä, että kaikki hänen vihanneksensa menivät hukkaan.",Kaikki jäsenet allekirjoittivat kiitoskortin Colelle.,2
9923091f-49f3-4ce5-bd9c-fd01f284bfde,Olin koko koulupäivän ajan täysin väsynyt.,"Kun espanjanopettajani opetti aksentteja, olin nukahtamassa.",Lounaan aikana päätin levätä jalkapallokentän katsomossa.,Lisäksi nukahdin bussimatkalla kotiin.,Päätin katsoa elokuvia koko illan.,Minulla oli aikainen yö.,2
6b666c82-cfcd-4447-ba48-f91fcb27c170,Bob haaveili ajaessaan autoa.,Hirvi hyppäsi suoraan hänen edessään tielle.,Bobin auto törmäsi peuraan!,Peura ja Bobin etupuskuri murskautuivat!,Bob oli hämmentynyt ja hänellä oli haava otsassaan!,Sen jälkeen Bob oli hermostunut ratsastamaan.,1
11abdce5-a150-4ea4-b76b-4ff36b7b0f6c,Kävin Las Vegasissa.,"Opin, että pidän todella peliautomaateista.",Vietin paljon aikaa niiden parissa.,käytin paljon rahaa.,"Olin järkyttynyt, kun menetin kaikki rahani.","Olin iloinen, etten ollut käyttänyt paljon rahaa peliautomaatteihin.",1
b29a15ca-1fdf-42a3-b443-50c33f297318,Chelsea oli menossa naimisiin ensi viikolla.,Hän tarvitsi jonkun luovuttamaan hänet.,"Hänen isänsä ei tullut kysymykseen, koska hän oli väkivaltainen ääliö.","Hän ei todellakaan tiennyt, mitä tehdä.","Hän kysyi isältään, koska isä oli aina ollut hyvä hänelle.","Hän päätti kysyä asiaa veljeltään, jolle se oli kunnia-asia.",2
5ae5571c-31f7-4d79-86f2-3c7fa9ffb6c7,Austin tarvitsi taideteoksia asuntoonsa.,Hän kävi keskustan taidegallerioissa hakemassa inspiraatiota.,Kerran hän sai idean.,Hän meni nettiin ja osti materiaalia.,Austin meni puistoon ja leikki koiransa kanssa.,Austin maalasi useita samanlaisia kuvia kuin mitä hän oli nähnyt.,2
1734a9b5-938b-414f-8718-450d13658cb2,Vuonna 2005 menin St Anselm Collegeen pelaamaan shakkia.,Ystäväni oli siellä professorina.,"Hänen kollegansa, joka on myös shakinpelaaja, pelasi myös meitä vastaan.",Olin hyvässä vireessä enkä hävinnyt yhtään peliä!,Jatkan shakin pelaamista ja toivon päteviä vastustajia.,Taidan alkaa pelata jalkapalloa.,1
264662c6-4f40-4f03-93d1-335a268e52c5,Izzy on lääkäri.,Hän on liian sitoutunut potilaisiinsa.,Eräänä päivänä hän rakastuu potilaaseen Dennyyn.,Denny kuolee aneurysmaan.,Izzy on murtunut.,Izzy on onnellinen.,1
609a7d44-9a1c-4585-b0f4-5ac7d9fc1f8f,Larry halusi aina tuntea itsensä vahvemmaksi.,"Hän huomasi, että useat koulun oppilaat nostivat painoja.",Larry päätti myös nostaa painoja.,"Hän aloitti kevyillä painoilla, mutta kokeili vähitellen raskaampia painoja.",Lopulta Larry vahvistui.,Larry häpesi tekoaan.,1
e242bc6e-470b-4ed9-ac96-48a4d38b11ef,Kämppikseni haastatteli uuteen työpaikkaan.,"Hän harjoitteli joka ilta edellisellä viikolla varmistaakseen, että hän oli valmis.","Kun päivä koitti, hän pukeutui hienoimpiin vaatteisiinsa.","Odotimme innolla, mitä tapahtuisi.","Muutamaa päivää myöhemmin hänelle soitettiin ja kerrottiin, että hän sai työpaikan.","Kämppikseni sai sitten puhelun, jossa sanottiin, että hän sai potkut.",1
5d10d46d-83a9-4468-9b05-8bdabdc5ea92,Gertrude oli tunnetusti kömpelö ja kömpelö.,"Hänen ystävänsä ajattelivat, että urheilun harrastaminen voisi auttaa häntä.",Hän päätti kokeilla koulun jalkapallojoukkuetta.,Hän juoksi kentälle ja kompastui yllättäen palloon.,Jalkapallojoukkue onnitteli häntä ja antoi hänelle paikan joukkueesta.,Häntä ei tietenkään hyväksytty jalkapallojoukkueeseen.,2
b083a25d-a3c3-47be-8879-949b475d13f6,Leeza käveli yksin lähellä metsää.,Hän kaatui yhtäkkiä eikä pystynyt kävelemään.,"Hän huusi apua, mutta turhaan.",Hän ryömi kadulle liputtaakseen jonkun paikalle.,Leeza oli tuskissaan.,Leezalla oli hauskaa.,1
847fb1fc-aa6c-443c-98aa-fd4af3847c73,Noah osti vanhan kirjan säästökaupasta.,Hän vei sen kotiin ja alkoi lukea sitä.,"Kun hän teki niin, sivuilta putosi jotain.","Noah kumartui uteliaana ja otti sen käteensä, silmät laajenivat.",Hän palasi lukemaan kirjaansa.,Sivujen väliin oli painettu nelilehtinen apila!,2
49500220-b926-41dd-9347-0edb6829edeb,Gina ei saanut vesiletkua päälle.,Hanassa ei ollut kahvaa.,Hän ei löytänyt kahvaa talosta.,Lopulta hän meni autotalliin katsomaan.,Gina laittoi itselleen lounasta.,Gina löysi pesukoneen kahvan.,2
dea3f3e4-98c4-4614-ab9f-e370785fc7fc,Löysin tänään postista 600 dollarin kirjekuoren.,Se kuului kuitenkin naapurilleni.,"Päätin antaa heille postin sen sijaan, että pitäisin sen.",He kiittivät minua epäitsekkyydestä.,Olen epärehellinen.,Olen rehellinen.,2
f560dccd-209b-43fd-8bb7-6629e8a30823,"Ennen lähtöään hän lupasi miehelle, että jonain päivänä hän palaisi.",Hänellä oli tärkeitä asioita hoidettavana kaukana.,"Mies kaipasi häntä, ja nainen kaipasi häntä todella.","Jonain päivänä hän palaisi, hän sanoi itselleen.","Hän toivoi, ettei nainen koskaan palaisi.",Vuotta myöhemmin hän palasi.,2
0d1aec48-f891-4611-80b2-b10476ea4776,Oliver tarvitsi uuden radion.,Hän ei kuitenkaan tiennyt niistä mitään.,Ystävä auttoi häntä valitsemaan sellaisen.,Ystävä oli ammattilainen ja löysi hänelle hyvän tarjouksen.,Oliver oli kyllästynyt ystävänsä ei-toivottuihin neuvoihin.,Oliver oli kiitollinen ystävälleen.,2
dbd1c07c-3bbd-4753-bd93-6b7400eb2c64,Tommy kutsui luokassa vieressä istuvaa tyttöä.,"Hän kysyi, oliko oppitunti hänen mielestään hyvä.","Hän nyrpisti otsaansa ja suri, että hän on parisuhteessa.",Tommy kääntyi välittömästi ympäri.,Tommy päätti pyytää tyttöä treffeille.,Tommy oli todella hämillään.,2
ce784ff4-4411-43ae-8789-7dcd07692029,Kaupunki järjesti koirien sukelluskilpailun.,"He perustivat suuren ulkouima-altaan, jossa on portaat.",Monet ihmiset tulivat katsomaan ja ottamaan kuvia.,Kukin koira juoksi ja hyppäsi vuorollaan veteen.,Koirat hyökkäsivät ihmisten kimppuun.,"Kaikilla oli hauskaa, jopa koirilla.",2
d35e7dfc-d3cf-40b2-8b67-b92572b74222,"Lähdimme safarille ja toivoimme näkevämme Big 5:n, joka on kaikkien tavoite.",10 päivän jälkeen olimme nähneet kaikki muut paitsi yhden leopardin.,Kuulimme jonkun sanovan nähneensä leopardin poikasia tämänpäiväisellä ajomatkalla.,Olimme niin pettyneitä ja kysyimme heiltä asiasta myöhemmin.,Halusimme jättää leopardit väliin.,Halusimme nähdä leopardin.,2
84c97f08-5998-4059-b2e6-26307c70a656,"Albert oli nuori mies, joka oli juuri hankkinut elvytyssertifikaatin.",Hän päätti juhlia sitä menemällä ulos syömään.,Ravintolassa ollessaan toinen asiakas alkoi tukehtua ruokaansa.,Albert ryntäsi hänen luokseen ja teki nopeasti Heimlichin manööverin.,Albert pelasti päivän.,Kaikki olivat vihaisia Albertille.,1
e948a9b0-1f8a-4166-b43a-757387ea6ca0,Sam ja John menivät eräänä päivänä pelaamaan ultimate frisbeetä.,Kentälle saavuttuamme siellä pelattiin jalkapalloa.,Sam lähestyi heitä ja pyysi heitä antamaan hänen ja Johnin pelata myös.,"Muutaman minuutin keskustelun jälkeen he suostuivat, ja kaikki pelasivat vähän aikaa.",Sitten he kaikki menivät kotiin.,Sam ja John juoksivat poikajoukon luota.,1
5a797fa1-07d2-47f6-b160-36e10ae5e63e,Tina on hyvin väsynyt joka ikinen aamu.,Hän ei saa tarpeeksi unta kahden työnsä vuoksi.,Tina päättää irtisanoutua yhdestä työpaikasta.,"Nyt hän nukkuu tarpeeksi, jotta hän voi toimia joka päivä.",Tina on hyvin levännyt.,Tina on väsyneempi kuin koskaan ennen.,1
c9ed6b56-0a08-4b0b-bb46-4a05856c6b3f,Jaris halusi poimia maljakkoonsa luonnonkukkia.,Hän meni osavaltion puistoon.,Hän poimi monenlaisia kukkia.,"Jaris ei tiennyt, että kyseessä oli kansallispuisto.",Jaris poimi kukkia osavaltion puistosta.,Jaris joutui vaikeuksiin ja pyysi syvästi anteeksi.,2
b4e4e9db-8cc5-4b39-a4c7-894ed6af9c79,"Tyttärelläni on lista asioista, jotka hänen on tehtävä ennen kuin hän täyttää 40 vuotta.",Hän on vasta 30-vuotias.,Yksi asia oli lukea Raamattu kannesta kanteen.,Päätin lukea Raamattua uudelleen tyttäreni tueksi.,"Haluan, että tyttäreni lakkaa olemasta kristitty.","Haluan, että tyttärelläni on hengellinen elämä.",2
d59da61f-1141-4c74-8e7c-1e11ff2d21c8,Micky on aina halunnut laihtua.,Hän kokeili turhaan hullunkurisia ruokavalioita.,Hän alkoi vähentää kaloreita ja harrastaa enemmän liikuntaa.,Kahden kuukauden kuluttua Micky alkoi nähdä tuloksia.,Hän oli hyvin ylpeä kaikesta kovasta työstään.,Micky oli hyvin pettynyt.,1
7d177568-fd50-4c13-a5a5-929a12e765c5,Amy soitti Kimille.,"Hän halusi selvittää, miksi Kim oli hänelle töykeä.",Kim oli mustasukkainen Amyn poikaystävästä.,Amy hyväksyi hänen anteeksipyyntönsä.,"Amy sanoi Kimille, että hän oli suuri luuseri.","He päättivät, etteivät koskaan anna miehen tulla väliin.",2
ed31c050-341d-4ae2-9ec5-55da770d5e5b,Lauren lopetti myöhäisillan työvuoronsa baarissa väsyneenä.,Hän tykkäsi yleensä mennä bussilla töistä kotiin.,"Tänään hän kuitenkin huomasi, että kuu näytti kauniilta.",Hän käveli kotiin onnellisena kirkkaan kuun alla.,Laurenin aviomies oli iloinen nähdessään Laurenin virkistyneenä.,Lauren toivoo menevänsä bussilla kotiin.,1
c6637931-907e-452e-aa57-299e8801d648,Noah leikki puumajassaan.,Hän päätti tulla tänne päiväksi.,"Mutta sitten hän näki, että hänen tikapuunsa oli pudonnut ja makasi maassa!",Nooa ei päässyt mitenkään alas puumajasta!,Hän oli niin iloinen.,Hän huusi isälleen.,2
05fa2554-9bb2-4abc-954f-6e21b2e52a5b,"Siellä oli poika, jolla oli paintball-ase.",Hän tuhlasi kaikki ammuksensa.,Hän oli juoksuhaudoissa ja yritti pysyä piilossa.,Lopulta hän spurttasi kohti lippua.,Poika päätti mennä uimaan.,Toisen joukkueen jäsenet ampuivat hänet.,2
8d833f98-114a-420f-adb2-53884b813034,Celina on hyvin vanha.,Hänen lanteensa ovat aina kipeät.,Hänen on vaikea kävellä.,Eräänä päivänä hän sai kävelytelineen.,Se auttoi häntä paljon.,Celinalla ei ole jalkoja.,1
048f5a77-7c17-4071-8b0b-b8e43087132d,Neil vieraili Limerickissä Irlannissa.,Siellä hän näki kauniin näyn.,Hän näki suuren ja ihanan Shannon-joen!,Muutaman minuutin kuluttua hän oli samaa mieltä paikallisten kanssa.,Shannon-joki oli kaunis.,Neil oli hyvin tyhmä.,1
57046c72-5c39-47b4-88a1-6984ad1ac6b8,Jayn joukkue oli harjoitellut koko viikon suurta peliä varten.,"Kukaan pelaajista ei näyttänyt tietävän, mitä oli tekemässä.",Jayn joukkue hävisi ison pelin selvästi.,"Jay osti joukkueelle pizzaa, koska he yrittivät niin kovasti.","Joukkue kysyi Jayltä, voisivatko he sen sijaan syödä hampurilaisia.",Joukkue ahmi pizzan ja kiitti Jayta.,2
dac71653-f4b0-4445-806c-ae724a693373,Rachel halusi todella uusia meikkejä.,Hänellä ei kuitenkaan ollut rahaa ostaa niitä.,Hän meni kauppaan ja sujautti laukkuunsa luomivärin.,"Hän käveli ulos kaupasta ilman, että kukaan sai häntä kiinni.",Rachel meni kotiin ja laittoi eyelinerin.,Rachel heitti eyelinerin roskiin.,1
5508c74e-4105-4b4b-805f-372aa58429ea,"Maxine on kyllästynyt siihen, että hän kastuu aina, kun ulkona sataa.","Hän harkitsee muuttoa jonnekin, missä ei ole sadetta, mutta päättää olla tekemättä sitä.",Lopulta Maxine ostaa upean uuden punaisen sateenvarjon.,Hän rakastaa uutta sateenvarjoaan ja ottaa sen mukaansa kaikkialle.,Hän muuttaa autiomaahan.,"Hän on nyt iloinen, kun sataa.",2
c9c7f614-e8c1-4b07-890d-2b0ffc19cd47,Derek on kyllästynyt asumaan kotona vanhempiensa kanssa.,"Eräänä päivänä hänen ystävänsä ehdotti, että he muuttaisivat yhteen.",Hän kertoi vanhemmilleen.,Sinä yönä he pakkasivat hänen tavaransa.,Derek oli onnellinen päästessään vihdoin ulos.,Derek ei halunnut lähteä.,1
6126881f-3a6f-421a-b2ae-b74b7a52dd96,Vietimme kolmekymmenettä vuosipäiväämme Kalifornian rannikolla.,"Oli viileää, sumuista ja tihkusateista.",Minulla oli suunnitelmissa viettää aikaa rannalla vesiväreitteni kanssa.,Kolmantena päivänä löysimme valasperheen laiturin läheltä.,Maalasin kuvan valaista.,Ajoin New Yorkiin samana iltana.,1
98bdd522-48f8-49ed-bcda-fde95a663ee2,Jenny tykkää aina käydä Starbucksissa.,Eräänä päivänä hän oli tilaamassa kahvia.,"Kun hän meni ikkunan luo maksaakseen, hänelle kerrottiin, että se oli jo maksettu.",Hänen edessään ollut henkilö oli maksanut.,Jenny maksoi kahvinsa käteisellä.,Jenny maksoi takanaan olevan henkilön tilauksen.,2
35146100-1a33-4b70-ab26-4469198f909a,"Kaikki rakastivat Bobia, koska hän esitti suosittua elokuvahahmoa.","Bob inhosi sitä, koska hän ei ollut lainkaan tuon hahmon kaltainen.",Jim pyysi Bobia sanomaan hahmonsa iskulauseen.,"Se oli Bobille liikaa, ja hän räjähti raivosta.",Bob käski miehen jättää hänet rauhaan.,Bob pyysi mieheltä teetä.,1
96e98dae-7c2e-4130-b6c2-4912c0e58938,Lita halusi katsoa suosikkiohjelmansa televisiosta.,Hänen lapsensa vaativat häntä istumaan alas katsomaan sitä heidän kanssaan.,"Lita kertoi heille, että hänellä oli kotitöitä tehtävänä.",Hänen lapsensa raahasivat pyykkikorin olohuoneeseen.,Lita tilasi lounaaksi pepperonipizzan.,Lita taitteli pyykkiä samalla kun katsoi televisiota.,2
39c953ff-bb04-4997-a6be-3f4b07e0db56,"Liv hätkähti, kun kova pamahdus säikäytti hänet.","Hän tajusi, että hänen keittiönsä lamppu oli palanut loppuun.",Hän otti esiin jakkaran ja astui sen päälle.,"Se heilahti hänen allaan, ja hän melkein kaatui.",Liv päätti vaihtaa kylpyhuoneen lampun.,Liv vaihtoi sitten lampun.,2
2b7745a1-9e3a-402d-a806-1eebfb18ad5a,"Äiti kertoi lapsilleen, että lounasaika olisi vartin kuluttua.",Mutta sitten hän sai tärkeän puhelun.,Hänen puhuessaan koira raahasi mutaa ympäri keittiötä.,"Lapset alkoivat kiusata äitiään, joka oli edelleen puhelimessa.",Äiti oli melko turhautunut.,Lasten käytös rauhoitti äitiä.,1
56b24969-0004-4731-99d6-ac4931df1b50,Hector on aina ostanut kahvia paikallisesta kaupasta ennen töitä.,"Hän tajuaa, että hänen kahvinostotapansa on hyvin kallis.",Eräänä päivänä Hector päättää keittää kotona kahvia.,"Hän on ylpeä siitä, että kotona keitetty kahvi on niin hyvää.",Hector keitti kahvinsa itse ja säästi näin rahaa.,Hector alkoi ostaa enemmän kahvia Starbucksista.,1
eb653573-0e05-403a-b5a4-be7bd6ba3f99,"Kelly sai tietää, että koulussa oli uusi tyttö.","Kun hän käveli kouluun, hän lähti etsimään häntä.","Kun hän tapasi hänet, hän kutsui hänet lounaalle.","Kun he söivät lounasta, tytöistä tuli ystäviä.",Kelly ei enää koskaan puhunut hänelle.,Kelly oli iloinen saadessaan uuden ystävän.,2
efb927ed-be0b-41fb-b89d-1fe4f3f96f78,Tommy harjoitteli kovasti juostakseen ensimmäisen 5 kilometrin juoksunsa.,"Kilpailun aikana hän oli turhautunut, kun niin monet ihmiset ohittivat hänet.","Kun hän kuuli nimensä huudettavan palkintojenjakotilaisuudessa, hän järkyttyi.","Hän ei tiennyt, että palkinnot jaetaan ikäryhmittäin.","Häntä hävetti, ettei hän saanut tunnustusta.","Hän oli ylpeä siitä, että hän sijoittui ikäluokassaan ensimmäiseksi mutta kokonaiskilpailussa kymmenenneksi.",2
dac6c4cb-422b-436e-ac83-7853ad91d9c6,Laurie menee tänään ensimmäisiin tanssiaisiinsa.,Hänen seuralaisensa haki hänet ja antoi hänelle kauniin ruusun.,Laurie oli pukeutunut pitkään kimaltelevaan mekkoon.,He tanssivat ja pitivät hauskaa kaikkien ystäviensä kanssa.,Laurie meni kotiin itkien.,Laurie päätti illan suutelemalla seuralaista.,2
9f53d98f-c1d9-4082-a9c7-1a95ed3de223,Neil tutki historiallisia rautateitä.,Hän ratsasti Pennsylvanian Scrantoniin.,"Hän tajusi, että se oli kaunis vanha junavarikko.",Hän otti siellä ollessaan paljon valokuvia.,Neil poisti kaikki valokuvansa.,Neil talletti kuvat tietokoneelleen.,2
553ec373-0500-4c63-979f-a446a17f550d,Bob pelkäsi ensimmäistä työpäiväänsä pikaruokapaikassa.,"Hän aikoi odottaa, että saisi pukea ylleen räikeän merenkulkupuvun.",Bob ryhtyi valmistamaan kalahampurilaisia pukeuduttuaan univormuun.,"Hänellä oli niin kiire, että hän unohti vaihtaa vaatteet.","Bob ihastui asuun niin paljon, että hän näytti sitä ystävilleen.",Bob lähti töiden jälkeen ulos merimiespuku päällä.,2
d84fcc97-0638-4dc8-a881-596c66b75e83,Ystävä tuli käymään.,"Kerroin hänelle, että koirani puree.",Hän ei kuunnellut.,hän yritti silittää sitä ja leikkiä sen kanssa.,Koirani puri häntä.,Koirani karkasi.,1
6001c530-a64f-4128-82db-deb6bd81e8b8,Lester on aina halunnut olla taiteellisempi.,Eräänä päivänä hän päättää yrittää piirtää kuvan kukasta.,Hän istuu kauniin orkidean eteen ja alkaa piirtää.,Lesterin piirros onnistuu hyvin.,Hän ripustaa kuvan olohuoneensa seinälle.,Hän päättää olla piirtämättä enää koskaan mitään.,1
2ff39c6a-6eb8-4890-8e25-6b6af653046d,Pablo tykkää syödä matoja.,"Hän luki koulussa kirjan siitä, miten tämä tehdään.",Hän paistaa ne oliiviöljyssä.,Hän haluaa tehdä tämän vähintään kerran kuukaudessa.,Pablo nauttii matoista ja pitää niitä herkkuna.,Pablo ei pidä matojen syömisestä.,1
5bf65083-150d-4e08-a822-fd215ecd23fe,Kira on aina rakastanut japanilaista kulttuuria.,Monet hänen lempielokuvistaan olivat japaninkielisiä.,Hän päätti matkustaa sinne.,Vuosia hän säästi rahaa matkaansa varten.,Hän käytti kaikki rahat kenkiin.,Se oli hänen elämänsä paras matka.,2
a6e1d6d8-ddbb-4b54-a685-c642f4076e1b,Glen oli kävelyn tuulella.,Hän pukeutui takkiinsa ja meni ulos.,Kävellessään jalkakäytävällä hän kompastui ja loukkasi polvensa.,Glen nousi ylös ja ontui takaisin kotiinsa.,Glen juoksi parhaan maratonaikansa koskaan.,"Glen vannoi, ettei enää koskaan kävele.",2
adaa9d18-572e-40f0-af81-c415abf793a4,Kävelin hiljattain kauppaan.,"Kun ohitin uloskäynnin, tunsin kylmän, kovan teräksen käsivarrellani.","Olin järkyttynyt siitä, että auto oli jäämässä päälleni!","Kuljettaja oli hyvin anteeksipyytävä nähtyään, että minuun oli osunut.","Sanoin heille, että kaikki on hyvin, ja kävelin sitten pois.",Auton kuljettaja suuttui minulle kovasti.,1
